engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,seats,body_type,city,mileage_numeric,car_age,price_in_lakhs,brand,model
1197.0,Third Party insurance,Manual,40000.0,First Owner,Petrol,5,Hatchback,Agra,21.4,8,5.45,Maruti,Baleno
2179.0,Third Party insurance,Automatic,70000.0,First Owner,Diesel,7,MUV,Agra,17.6,7,10.0,Tata,Hexa
1197.0,Third Party insurance,Manual,70000.0,Second Owner,Petrol,5,Sedan,Agra,20.85,10,4.5,Maruti,Swift
1197.0,Third Party insurance,Manual,70000.0,Second Owner,Petrol,5,Sedan,Agra,20.85,10,4.5,Maruti,Swift
1086.0,Third Party insurance,Manual,80000.0,First Owner,Petrol,5,Hatchback,Agra,19.81,16,1.6,Hyundai,i10
1197.0,Third Party insurance,Manual,70000.0,First Owner,Petrol,5,Hatchback,Agra,17.19,10,4.7,Hyundai,i20
1047.0,Third Party insurance,Manual,120000.0,First Owner,Diesel,5,Hatchback,Agra,27.28,8,3.6,Tata,Tiago
1086.0,Third Party insurance,Manual,60000.0,Second Owner,Petrol,5,Hatchback,Agra,19.81,15,2.0,Hyundai,i10
1196.0,Third Party insurance,Manual,20000.0,First Owner,Petrol,7,Minivans,Agra,15.37,9,3.7,Maruti,Eeco
1086.0,Third Party insurance,Manual,30000.0,First Owner,Petrol,5,Hatchback,Agra,18.929993251754546,16,1.2,Hyundai,Santro
1198.0,Third Party insurance,Manual,70000.0,First Owner,Petrol,5,Sedan,Agra,18.0,11,3.3,Honda,Amaze
1197.0,Third Party insurance,Manual,60000.0,Second Owner,Petrol,5,Sedan,Agra,20.14,7,4.75,Hyundai,Xcent
1462.0,Third Party insurance,Manual,50000.0,Third Owner,Petrol,5,Sedan,Agra,21.56,5,6.86,Maruti,Ciaz
1493.0,Third Party insurance,Manual,60000.0,First Owner,Diesel,5,SUV,Agra,23.7,4,12.5,Hyundai,Venue
1396.0,Third Party insurance,Manual,60000.0,First Owner,Diesel,5,SUV,Agra,23.7,4,11.0,Hyundai,Venue
998.0,Third Party insurance,Automatic,20000.0,First Owner,Petrol,5,Hatchback,Agra,23.95,6,3.95,Maruti,Alto
998.0,Third Party insurance,Manual,40000.0,First Owner,CNG,5,Hatchback,Agra,26.6,9,3.5,Maruti,Wagon
1496.0,Third Party insurance,Manual,50000.0,Second Owner,Petrol,5,Sedan,Agra,17.6,14,2.89,Toyota,Etios
1364.0,Third Party insurance,Manual,150000.0,First Owner,Diesel,5,Sedan,Agra,21.43,14,2.82,Toyota,Corolla
998.0,Third Party insurance,Manual,10000.0,First Owner,Petrol,5,SUV,Agra,18.2,4,10.0,Kia,Sonet
1462.0,Third Party insurance,Manual,30000.0,Second Owner,Petrol,5,Sedan,Agra,20.65,5,7.85,Maruti,Ciaz
1498.0,Third Party insurance,Manual,150000.0,Third Owner,Diesel,5,SUV,Agra,22.7,11,3.0,Ford,Ecosport
2360.0,Third Party insurance,Automatic,80000.0,Second Owner,Petrol,5,SUV,Agra,11.3,14,3.97,Mitsubishi,Outlander
1248.0,Third Party insurance,Manual,20000.0,First Owner,Diesel,5,Sedan,Agra,26.59,10,3.75,Maruti,Swift
998.0,Third Party insurance,Manual,120000.0,Third Owner,Petrol,5,Hatchback,Agra,20.92,14,1.0,Maruti,Alto
2360.0,Third Party insurance,Automatic,80000.0,Second Owner,Petrol,5,SUV,Agra,11.3,14,3.97,Mitsubishi,Outlander
1197.0,Third Party insurance,Manual,40000.0,First Owner,Petrol,5,Hatchback,Agra,21.01,4,6.75,Maruti,Baleno
1197.0,Third Party insurance,Manual,60000.0,Second Owner,Petrol,5,Sedan,Agra,20.14,7,4.65,Hyundai,Xcent
1197.0,Third Party insurance,Manual,80000.0,Second Owner,Petrol,5,Sedan,Agra,20.85,10,4.8,Maruti,Swift
796.0,Third Party insurance,Manual,100000.0,First Owner,Petrol,5,Hatchback,Agra,22.74,11,2.25,Maruti,Alto
998.0,Third Party insurance,Manual,70000.0,Second Owner,Petrol,5,Hatchback,Agra,20.51,9,3.2,Maruti,Wagon
1197.0,Third Party insurance,Manual,30000.0,First Owner,Petrol,5,Hatchback,Agra,18.9,10,4.15,Hyundai,Grand
1248.0,Third Party insurance,Manual,120000.0,Third Owner,Diesel,5,Hatchback,Agra,22.9,13,2.4,Maruti,Swift
2179.0,Third Party insurance,Manual,100000.0,Third Owner,Diesel,7,SUV,Agra,15.1,12,3.5,Mahindra,XUV500
2179.0,Third Party insurance,Manual,100000.0,Third Owner,Diesel,7,SUV,Agra,15.1,12,3.5,Mahindra,XUV500
2179.0,Third Party insurance,Manual,90000.0,Second Owner,Diesel,7,SUV,Agra,11.57,12,2.96,Tata,New
2179.0,Third Party insurance,Manual,90000.0,Second Owner,Diesel,7,SUV,Agra,11.57,12,2.96,Tata,New
1199.0,Third Party insurance,Manual,100000.0,First Owner,Petrol,5,Hatchback,Agra,23.84,7,3.16,Tata,Tiago
1248.0,Third Party insurance,Manual,100000.0,Second Owner,Diesel,5,SUV,Agra,24.3,8,7.5,Maruti,Vitara
1248.0,Third Party insurance,Manual,120000.0,First Owner,Diesel,7,MUV,Agra,25.47,6,9.0,Maruti,Ertiga
998.0,Third Party insurance,Manual,10000.0,First Owner,Petrol,5,Hatchback,Agra,25.24,3,5.6,Maruti,Celerio
1248.0,Third Party insurance,Manual,150000.0,First Owner,Diesel,5,SUV,Agra,24.3,8,8.0,Maruti,Vitara
1396.0,Third Party insurance,Manual,120000.0,Second Owner,Diesel,5,SUV,Agra,22.1,8,9.0,Hyundai,Creta
796.0,Third Party insurance,Manual,80000.0,First Owner,Petrol,5,Hatchback,Agra,22.05,6,2.8,Maruti,Alto
2494.0,Third Party insurance,Manual,90000.0,Second Owner,Diesel,7,Toyota,Agra,11.4,12,5.5,Toyota,Innova
2494.0,Third Party insurance,Manual,150000.0,First Owner,Diesel,8,MUV,Agra,12.8,16,2.5,Toyota,Innova
1248.0,Third Party insurance,Manual,150000.0,First Owner,Diesel,5,Sedan,Agra,18.8,14,1.5,Tata,Manza
1248.0,Third Party insurance,Manual,150000.0,First Owner,Diesel,5,Sedan,Agra,18.8,14,1.5,Tata,Manza
1186.0,Third Party insurance,Manual,20000.0,First Owner,Diesel,5,Hatchback,Agra,24.0,8,4.8,Hyundai,Grand
1196.0,Third Party insurance,Manual,150000.0,First Owner,CNG,5,Minivans,Agra,21.94,8,3.0,Maruti,Eeco
1196.0,Third Party insurance,Manual,150000.0,First Owner,CNG,5,Minivans,Agra,21.94,8,3.0,Maruti,Eeco
1196.0,Third Party insurance,Manual,150000.0,First Owner,CNG,5,Minivans,Agra,21.94,8,3.0,Maruti,Eeco
1968.0,Third Party insurance,Automatic,30000.0,Second Owner,Diesel,5,Sedan,Agra,16.55,11,12.0,Audi,A4
1197.0,Third Party insurance,Manual,10000.0,First Owner,Petrol,5,Hatchback,Agra,21.0,3,8.0,Hyundai,i20
1199.0,Third Party insurance,Manual,80000.0,Fifth Owner,Diesel,5,Hatchback,Agra,22.07,13,2.0,Volkswagen,Polo
1248.0,Third Party insurance,Manual,80000.0,Second Owner,Diesel,5,SUV,Agra,24.3,6,7.4,Maruti,Vitara
1086.0,Third Party insurance,Manual,30000.0,First Owner,Petrol,5,Hatchback,Agra,17.92,16,1.5,Hyundai,Santro
1248.0,Third Party insurance,Manual,30000.0,First Owner,Diesel,5,Sedan,Agra,26.59,9,5.2,Maruti,Swift
1197.0,Third Party insurance,Manual,80000.0,Third Owner,Petrol,5,Hatchback,Agra,20.36,15,1.7,Hyundai,i10
1197.0,Third Party insurance,Manual,30000.0,First Owner,Petrol,5,SUV,Agra,17.52,4,7.1,Hyundai,Venue
999.0,Third Party insurance,Manual,20000.0,First Owner,Petrol,5,Sedan,Agra,18.97,4,9.5,Skoda,Rapid
1399.0,Third Party insurance,Manual,70000.0,First Owner,Diesel,5,Hatchback,Agra,20.0,12,2.4,Ford,Figo
